opcode;iset;family;annotate;issimd;inelttype;ineltsz;readsz;nb_oprns;oprn_1;oprn_2;oprn_3;oprn_4;nb_impl_oprns;
VCVTSD2SS;AVX;FM_CVT;A_NA;S_YES;T_FP;DATASZ_64b;DATASZ_64b;3;OPRN_REGISTER_XMM_READ;OPRN_REGISTER_XMM_READ;OPRN_REGISTER_XMM_WRITE;;0;
VCVTSD2USI;AVX512F;FM_CVT;A_NA;S_YES;T_FP;DATASZ_64b;DATASZ_64b;2;OPRN_REGISTER_XMM_READ;OPRN_REGISTER_STDLONG_WRITE;;;0;
VCVTSD2USI;AVX512F;FM_CVT;A_NA;S_YES;T_FP;DATASZ_64b;DATASZ_64b;2;OPRN_REGISTER_XMM_READ;OPRN_REGISTER_STDQUAD_WRITE;;;0;
VCVTSI2SD;AVX512F;FM_CVT;A_NA;S_YES;T_SINT;DATASZ_32b;DATASZ_32b;3;OPRN_REGISTER_STDLONG_READ;OPRN_REGISTER_XMM_READ;OPRN_REGISTER_XMM_WRITE;;0;
VCVTSI2SD;AVX512F;FM_CVT;A_NA;S_YES;T_SINT;DATASZ_64b;DATASZ_64b;3;OPRN_REGISTER_STDQUAD_READ;OPRN_REGISTER_XMM_READ;OPRN_REGISTER_XMM_WRITE;;0;
VCVTSI2SD;AVX;FM_CVT;A_NA;S_YES;T_SINT;DATASZ_32b;DATASZ_32b;3;OPRN_REGISTER_STDLONG_READ;OPRN_REGISTER_XMM_READ;OPRN_REGISTER_XMM_WRITE;;0;
VCVTSI2SD;AVX;FM_CVT;A_NA;S_YES;T_SINT;DATASZ_64b;DATASZ_64b;3;OPRN_REGISTER_STDQUAD_READ;OPRN_REGISTER_XMM_READ;OPRN_REGISTER_XMM_WRITE;;0;
VCVTSI2SS;AVX512F;FM_CVT;A_NA;S_YES;T_SINT;DATASZ_32b;DATASZ_32b;3;OPRN_REGISTER_STDLONG_READ;OPRN_REGISTER_XMM_READ;OPRN_REGISTER_XMM_WRITE;;0;
VCVTSI2SS;AVX512F;FM_CVT;A_NA;S_YES;T_SINT;DATASZ_64b;DATASZ_64b;3;OPRN_REGISTER_STDQUAD_READ;OPRN_REGISTER_XMM_READ;OPRN_REGISTER_XMM_WRITE;;0;
VCVTSI2SS;AVX;FM_CVT;A_NA;S_YES;T_SINT;DATASZ_32b;DATASZ_32b;3;OPRN_REGISTER_STDLONG_READ;OPRN_REGISTER_XMM_READ;OPRN_REGISTER_XMM_WRITE;;0;
VCVTSI2SS;AVX;FM_CVT;A_NA;S_YES;T_SINT;DATASZ_64b;DATASZ_64b;3;OPRN_REGISTER_STDQUAD_READ;OPRN_REGISTER_XMM_READ;OPRN_REGISTER_XMM_WRITE;;0;
VCVTSS2SD;AVX512F;FM_CVT;A_NA;S_YES;T_FP;DATASZ_32b;DATASZ_32b;3;OPRN_REGISTER_XMM_READ;OPRN_REGISTER_XMM_READ;OPRN_REGISTER_XMM_WRITE;;0;
VCVTSS2SD;AVX;FM_CVT;A_NA;S_YES;T_FP;DATASZ_32b;DATASZ_32b;3;OPRN_REGISTER_XMM_READ;OPRN_REGISTER_XMM_READ;OPRN_REGISTER_XMM_WRITE;;0;
VCVTSS2SI;AVX512F;FM_CVT;A_NA;S_YES;T_FP;DATASZ_32b;DATASZ_32b;2;OPRN_REGISTER_XMM_READ;OPRN_REGISTER_STDLONG_WRITE;;;0;
VCVTSS2SI;AVX512F;FM_CVT;A_NA;S_YES;T_FP;DATASZ_32b;DATASZ_32b;2;OPRN_REGISTER_XMM_READ;OPRN_REGISTER_STDQUAD_WRITE;;;0;
VCVTSS2SI;AVX;FM_CVT;A_NA;S_YES;T_FP;DATASZ_32b;DATASZ_32b;2;OPRN_REGISTER_XMM_READ;OPRN_REGISTER_STDLONG_WRITE;;;0;
VCVTSS2SI;AVX;FM_CVT;A_NA;S_YES;T_FP;DATASZ_32b;DATASZ_32b;2;OPRN_REGISTER_XMM_READ;OPRN_REGISTER_STDQUAD_WRITE;;;0;
VCVTSS2USI;AVX512F;FM_CVT;A_NA;S_YES;T_FP;DATASZ_32b;DATASZ_32b;2;OPRN_REGISTER_XMM_READ;OPRN_REGISTER_STDLONG_WRITE;;;0;
